title,author,price
 正版书籍 计算机类毕业设计指导与项目案例实践 赵骥 王彩霞 21世纪高等学校计算机应用技术系列教材 9787302634,赵骥 王彩霞 孙学波 张美娜 张孝临 代红,¥50.80
 正版书籍 计算机类专业新型一体化：移动端UI元素图形创意设计案例教程 无 计算机类专业新型一体化：移动端UI元素图形创意,电子工业出版社,¥41.40
 全新正版SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书【博睿好书】任选,其他,¥38.00
 Python 3.5从零开始学 刘宇宙 书店 计算机类书籍 书 畅想畅销书,其他,¥53.70
 正版【凤凰旗舰店】网络安全与管理实验与实训（微课视频版）石磊 高等学校计算机类书籍 信息管理类专业书籍任选FHXHSHD,清华大学出版社,¥54.00
 接入网技术 孙青华 书店 计算机类书籍 畅想畅销书,其他,¥40.70
 新编计算机文化基础教程(Windows 7+Office 2010版)-4版 靳敏 计算机类书籍,不详,¥31.49
 响应式动态网站项目开发-(jQuery+PHP+MySQL+Apache) 书店 高和蓓 计算机类书籍 书 畅想畅销书,其他,¥32.00
 SMT表面组装技术 书店 杜中一 计算机类书籍 书 畅想畅销书,其他,¥38.00
 正版 移动UI界面设计（微课版） 张晓景 书店 计算机类书籍 畅想畅销书,其他,¥64.00
 正版 UML建模实例教程-(第2版) 彭勇 书店 计算机类书籍 畅想畅销书,其他,¥45.00
 响应式动态网站项目开发-(jQuery+PHP+MySQL+Apache) 书店 高和蓓 计算机类书籍 书 畅想畅销书,其他,¥40.00
 正版 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想书,不详,¥42.15
 深入理解大数据：大数据处理与编程实践 计算机类书籍,黄宜华,¥80.00
 正版书籍 计算机类精品系列教材：SQL Server数据库基础教程 无 电子工业,电子工业出版社,¥62.34
 常青藤正版大型三维GS平台技术及实践 软件开发 计算机类书籍,吴信才,¥19.50
 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍 畅想畅销书,其他,¥41.70
 【任选】 网络工程综合实践教程 俞研等 书店 计算机类书籍,其他,¥31.00
 常青藤大型三维GS平台技术及实践 软开发 计算机类书籍任选,吴信才,¥24.00
 ASP.NET网站开发技术 朱珍 书店 计算机类书籍 书 畅想畅销书,其他,¥44.70
 正版 UML建模实例教程-(第2版) 彭勇 书店 计算机类书籍 畅想畅销书,其他,¥43.00
 正版书籍 计算机类专业系列教材：网页设计与制作 无 电子工业,电子工业出版社,¥53.31
 响应式动态网站项目开发-(jQuery+PHP+MySQL+Apache) 书店 高和蓓 计算机类书籍 书 畅想畅销书,其他,¥38.00
 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍 畅想畅销书,其他,¥41.70
 正版书籍 计算机类精品系列教材：计算机网络基础与实践 无 电子工业,电子工业出版社,¥63.06
 正版 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥44.38
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥35.46
 C语言程序设计 杨娟 计算机类 书籍任选备注,中国水利水电出版社,¥43.00
 C语言程序设计 杨娟 计算机类 书籍 任选备注,中国水利水电出版社,¥43.00
